valid_time,t2m,tp,number,latitude,longitude,expver,station_id
2023-01-01 12:00:00,290.56775,0.0,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-02 12:00:00,289.66132,2.2947788e-06,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-03 12:00:00,288.41656,1.4781951e-06,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-04 12:00:00,288.27417,8.523463e-07,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-05 12:00:00,287.4662,4.781783e-06,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-06 12:00:00,285.60416,2.3326276e-05,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-07 12:00:00,287.5876,1.424551e-06,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-08 12:00:00,289.5978,0.0,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-09 12:00:00,290.07654,1.4016032e-05,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-10 12:00:00,290.03665,4.2766322e-07,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-11 12:00:00,290.32275,0.0,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-12 12:00:00,291.4339,1.4051795e-05,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-13 12:00:00,290.3864,0.004925996,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-14 12:00:00,288.28534,1.4156103e-06,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-15 12:00:00,287.2759,4.351138e-07,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-16 12:00:00,287.43738,8.58468e-07,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-17 12:00:00,287.72018,0.0,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-18 12:00:00,288.68628,0.0,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-19 12:00:00,290.96155,0.00042046158,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-20 12:00:00,291.27643,8.5830686e-07,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-21 12:00:00,292.7862,0.0,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-22 12:00:00,292.9397,1.3411045e-07,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-23 12:00:00,294.66382,4.261732e-07,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-24 12:00:00,292.05673,0.00080890954,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-25 12:00:00,293.11533,0.00079903007,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-26 12:00:00,290.75662,5.841254e-07,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-27 12:00:00,290.8326,0.0,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-28 12:00:00,292.62515,1.287457e-06,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-29 12:00:00,288.8717,0.0041676043,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-30 12:00:00,289.07788,0.006321886,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-01-31 12:00:00,291.88983,4.351138e-07,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-02-01 12:00:00,292.11804,1.3008485e-06,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-02-02 12:00:00,293.46786,1.7151233e-06,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-02-03 12:00:00,294.01566,0.0,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-02-04 12:00:00,294.22217,0.0,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-02-05 12:00:00,294.95435,8.523463e-07,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-02-06 12:00:00,296.70306,0.0,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-02-07 12:00:00,295.12515,1.7151233e-06,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-02-08 12:00:00,294.29535,4.261732e-07,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-02-09 12:00:00,297.68402,4.351138e-07,0,28.599999999999994,77.19999999999997,0001,STATION_00
2023-02-10 12:00:00,297.63855,8.523463e-07,0,28.599999999999994,77.19999999999997,0001,STATION_00
